MODEL,STARTUP,SHUTDOWN,NCOST,C2,C1,C0
2,0,0,3,0.196078431,20,0
2,0,0,3,0.0067294751,20,0
2,0,0,3,0.0399680256,20,0
2,0,0,3,0.212765957,20,0
2,0,0,3,0.142857143,20,0
2,0,0,3,0.014858841,20,0
2,0,0,3,0.454545455,20,0
2,0,0,3,0.15625,20,0
2,0,0,3,0.0142857143,20,0
2,0,0,3,0.0333333333,20,0
2,0,0,3,0.0763358779,20,0
2,0,0,3,0.166666667,20,0
2,0,0,3,0.0714285714,20,0
2,0,0,3,0.0234741784,20,0
2,0,0,3,0.05,20,0
2,0,0,3,0.0588235294,20,0
2,0,0,3,0.0321646832,20,0
2,0,0,3,0.00490196078,20,0
2,0,0,3,0.0740740741,20,0
2,0,0,3,0.005,20,0
2,0,0,3,0.00617283951,20,0
2,0,0,3,0.00925925926,20,0
2,0,0,3,0.0125,20,0
2,0,0,3,0.192307692,20,0
2,0,0,3,0.0142857143,20,0
2,0,0,3,0.005,20,0
2,0,0,3,0.0333333333,20,0
2,0,0,3,0.00401123145,20,0
2,0,0,3,0.00368595651,20,0
2,0,0,3,0.00380662352,20,0
2,0,0,3,0.00236966825,20,0
2,0,0,3,0.0011168193,20,0
2,0,0,3,0.00333667,20,0
2,0,0,3,0.00991080278,20,0
2,0,0,3,0.00332778702,20,0
2,0,0,3,0.000771426367,20,0
2,0,0,3,0.00168435237,20,0
2,0,0,3,0.00035335689,20,0
2,0,0,3,0.00323101777,20,0
2,0,0,3,0.000484824978,20,0
2,0,0,3,0.00167168171,20,0
2,0,0,3,0.000192492782,20,0
2,0,0,3,0.00082863772,20,0
2,0,0,3,0.000175951015,20,0
2,0,0,3,0.000432469835,20,0
2,0,0,3,0.000263775685,20,0
2,0,0,3,0.000409014684,20,0
2,0,0,3,0.00190331176,20,0
2,0,0,3,0.000877423883,20,0
2,0,0,3,0.000708284521,20,0
